Sequence, Length, Molecular Weight, GRAVY
1, 36, 4176.52, -0.5611
2, 196, 21164.2, -0.0959
3, 233, 25379.75, -0.1691
4, 36, 4176.52, -0.5611
5, 196, 21164.2, -0.0959
6, 35, 4062.41, -0.4771
7, 196, 21164.2, -0.0959
